Source,club1_name,Target,club2_name,club1_wins,club2_wins,draws
536,Chelsea,1408,Juventus,1,1,2
536,Chelsea,1801,Napoli,1,1,0
536,Chelsea,1501,Lazio,2,1,1
536,Chelsea,2163,Roma,2,2,2
536,Chelsea,1576,Lille,2,0,0
536,Chelsea,2068,Paris Saint Germain,2,3,3
536,Chelsea,1674,Monaco,0,1,1
536,Chelsea,1748,Marseille,2,2,0
536,Chelsea,2173,Rennes,2,0,0
536,Chelsea,246,Bordeaux,1,0,1
536,Chelsea,468,B Leverkusen,1,1,0
536,Chelsea,469,B Munich,1,3,2
536,Chelsea,884,E Frankfurt,0,0,2
536,Chelsea,1284,Hertha Berlin,1,1,0
536,Chelsea,2260,Schalke,4,0,2
536,Chelsea,2682,Stuttgart,2,0,1
536,Chelsea,2854,W Bremen,1,1,0
646,Crystal Palace,942,Everton,11,22,19
646,Crystal Palace,1055,Fulham,14,17,16
646,Crystal Palace,1524,Leeds,18,30,16
646,Crystal Palace,1527,Leicester,27,28,19
646,Crystal Palace,1563,Liverpool,14,31,11
646,Crystal Palace,1718,Man City,16,34,14
646,Crystal Palace,1724,Man Utd,9,38,12
646,Crystal Palace,1823,Newcastle,12,27,8
646,Crystal Palace,2328,Sheff Utd,22,22,12
646,Crystal Palace,2471,Southampton,29,43,18
646,Crystal Palace,2590,Tottenham,10,28,15
646,Crystal Palace,2744,West Brom,21,23,15
646,Crystal Palace,2802,West Ham,9,19,16
646,Crystal Palace,2848,Wolves,22,29,19
942,Everton,1055,Fulham,31,21,13
942,Everton,1524,Leeds,33,52,31
942,Everton,1527,Leicester,44,36,34
942,Everton,1563,Liverpool,67,93,76
942,Everton,1718,Man City,68,75,47
942,Everton,1724,Man Utd,67,90,47
942,Everton,1823,Newcastle,72,68,37
942,Everton,2328,Sheff Utd,55,48,31
942,Everton,2471,Southampton,50,31,24
942,Everton,2590,Tottenham,56,68,56
942,Everton,2744,West Brom,71,59,39
942,Everton,2802,West Ham,72,40,32
942,Everton,2848,Wolves,62,46,27
942,Everton,3123,Villarreal,0,2,0
942,Everton,1370,Inter,0,1,1
942,Everton,41,AC Milan,0,1,1
942,Everton,17,Atalanta,0,2,0
942,Everton,999,Fiorentina,1,1,0
942,Everton,1576,Lille,1,0,1
942,Everton,1645,Lyon,0,2,0
942,Everton,403,B M'gladbach,0,0,2
942,Everton,469,B Munich,1,0,1
942,Everton,2967,Wolfsburg,2,0,0
1055,Fulham,1524,Leeds,19,25,15
1055,Fulham,1527,Leicester,40,28,18
1055,Fulham,1563,Liverpool,13,41,17
1055,Fulham,1718,Man City,17,36,16
1055,Fulham,1724,Man Utd,13,52,17
1055,Fulham,1823,Newcastle,31,28,15
1055,Fulham,2328,Sheff Utd,23,30,16
1055,Fulham,2471,Southampton,19,27,22
1055,Fulham,2590,Tottenham,13,46,27
1055,Fulham,2744,West Brom,28,36,22
1055,Fulham,2802,West Ham,30,42,21
1055,Fulham,2848,Wolves,25,45,24
1055,Fulham,163,Atletico Madrid,0,1,0
1055,Fulham,1408,Juventus,1,1,0
1055,Fulham,2163,Roma,0,1,1
1055,Fulham,268,Bologna,1,0,1
1055,Fulham,1284,Hertha Berlin,0,1,1
1055,Fulham,2967,Wolfsburg,2,0,0
1524,Leeds,1527,Leicester,48,43,34
1524,Leeds,1563,Liverpool,27,59,31
1524,Leeds,1718,Man City,42,44,18
1524,Leeds,1724,Man Utd,26,47,35
1524,Leeds,1823,Newcastle,39,39,18
1524,Leeds,2328,Sheff Utd,31,29,22
1524,Leeds,2471,Southampton,46,27,20
1524,Leeds,2590,Tottenham,32,37,29
1524,Leeds,2744,West Brom,37,33,19
1524,Leeds,2802,West Ham,48,29,29
1524,Leeds,2848,Wolves,41,35,22
1524,Leeds,2165,Real Madrid,0,2,0
1524,Leeds,224,Barcelona,1,1,2
1524,Leeds,2697,Valencia,2,1,3
1524,Leeds,41,AC Milan,1,1,1
1524,Leeds,1408,Juventus,0,0,2
1524,Leeds,1801,Napoli,1,1,0
1524,Leeds,1501,Lazio,1,0,1
1524,Leeds,2163,Roma,1,1,2
1524,Leeds,268,Bologna,1,1,0
1524,Leeds,2584,Torino,1,0,1
1524,Leeds,1674,Monaco,1,1,0
1524,Leeds,469,B Munich,0,1,0
1524,Leeds,2682,Stuttgart,2,1,0
1527,Leicester,1563,Liverpool,40,50,25
1527,Leicester,1718,Man City,31,60,31
1527,Leicester,1724,Man Utd,34,68,30
1527,Leicester,1823,Newcastle,47,52,28
1527,Leicester,2328,Sheff Utd,35,31,32
1527,Leicester,2471,Southampton,30,34,29
1527,Leicester,2590,Tottenham,37,57,21
1527,Leicester,2744,West Brom,38,51,23
1527,Leicester,2802,West Ham,49,54,33
1527,Leicester,2848,Wolves,38,42,36
1527,Leicester,163,Atletico Madrid,0,4,2
1527,Leicester,2292,Sevilla,1,1,0
1563,Liverpool,1718,Man City,90,48,49
1563,Liverpool,1724,Man Utd,67,81,58
1563,Liverpool,1823,Newcastle,86,49,43
1563,Liverpool,2328,Sheff Utd,63,41,31
1563,Liverpool,2471,Southampton,56,31,24
1563,Liverpool,2590,Tottenham,84,48,43
1563,Liverpool,2744,West Brom,68,39,45
1563,Liverpool,2802,West Ham,76,28,38
1563,Liverpool,2848,Wolves,55,36,17
1563,Liverpool,163,Atletico Madrid,1,3,2
1563,Liverpool,2165,Real Madrid,3,4,1
1563,Liverpool,224,Barcelona,4,3,3
1563,Liverpool,2292,Sevilla,0,1,2
1563,Liverpool,2192,Sociedad,2,0,0
1563,Liverpool,3123,Villarreal,1,1,0
1563,Liverpool,2159,Real Betis,1,0,1
1563,Liverpool,207,Athletic Bilbao,2,1,1
1563,Liverpool,690,Celta Vigo,0,2,0
1563,Liverpool,2697,Valencia,0,2,2
1563,Liverpool,2975,Alaves,1,0,0
1563,Liverpool,1370,Inter,3,1,0
1563,Liverpool,41,AC Milan,0,1,1
1563,Liverpool,1408,Juventus,2,3,1
1563,Liverpool,17,Atalanta,1,1,0
1563,Liverpool,1801,Napoli,2,2,2
1563,Liverpool,2163,Roma,3,2,2
1563,Liverpool,2634,Udinese,1,1,0
1563,Liverpool,999,Fiorentina,0,2,0
1563,Liverpool,1082,Genoa,0,2,0
1563,Liverpool,1576,Lille,1,1,0
1563,Liverpool,2068,Paris Saint Germain,2,2,0
1563,Liverpool,1674,Monaco,1,1,0
1563,Liverpool,1645,Lyon,0,1,1
1563,Liverpool,1748,Marseille,3,2,1
1563,Liverpool,935,St-Etienne,1,1,0
1563,Liverpool,2248,Strasbourg,1,1,0
1563,Liverpool,246,Bordeaux,3,0,1
1563,Liverpool,4796,Augsburg,1,0,1
1563,Liverpool,398,B Dortmund,2,1,2
1563,Liverpool,468,B Leverkusen,3,1,0
1563,Liverpool,403,B M'gladbach,3,2,0
1563,Liverpool,469,B Munich,3,1,5
1563,Liverpool,970,Cologne,0,0,3
1563,Liverpool,884,E Frankfurt,1,0,1
1563,Liverpool,3937,Hoffenheim,2,0,0
1563,Liverpool,5709,RB Leipzig,2,0,0
1718,Man City,1724,Man Utd,55,76,53
1718,Man City,1823,Newcastle,71,72,40
1718,Man City,2328,Sheff Utd,50,37,34
1718,Man City,2471,Southampton,38,32,25
1718,Man City,2590,Tottenham,64,63,36
1718,Man City,2744,West Brom,72,54,30
1718,Man City,2802,West Ham,58,37,18
1718,Man City,2848,Wolves,49,48,26
1718,Man City,2165,Real Madrid,2,2,2
1718,Man City,224,Barcelona,1,5,0
1718,Man City,2292,Sevilla,2,0,0
1718,Man City,3123,Villarreal,2,0,0
1718,Man City,207,Athletic Bilbao,1,0,1
1718,Man City,2697,Valencia,0,1,1
1718,Man City,41,AC Milan,1,0,1
1718,Man City,1408,Juventus,1,3,2
1718,Man City,17,Atalanta,1,0,1
1718,Man City,1801,Napoli,2,1,1
1718,Man City,2163,Roma,1,0,1
1718,Man City,2068,Paris Saint Germain,1,0,2
1718,Man City,1674,Monaco,1,1,0
1718,Man City,1645,Lyon,0,2,1
1718,Man City,1748,Marseille,2,0,0
1718,Man City,398,B Dortmund,2,1,1
1718,Man City,403,B M'gladbach,5,1,2
1718,Man City,469,B Munich,3,3,0
1718,Man City,3937,Hoffenheim,2,0,0
1718,Man City,2260,Schalke,4,1,0
1724,Man Utd,1823,Newcastle,89,43,39
1724,Man Utd,2328,Sheff Utd,46,35,16
1724,Man Utd,2471,Southampton,67,27,35
1724,Man Utd,2590,Tottenham,92,53,50
1724,Man Utd,2744,West Brom,57,44,33
1724,Man Utd,2802,West Ham,69,45,32
1724,Man Utd,2848,Wolves,50,36,20
1724,Man Utd,163,Atletico Madrid,0,1,1
1724,Man Utd,2165,Real Madrid,2,5,4
1724,Man Utd,224,Barcelona,3,6,4
1724,Man Utd,2292,Sevilla,0,2,1
1724,Man Utd,2192,Sociedad,2,0,2
1724,Man Utd,3123,Villarreal,0,0,4
1724,Man Utd,3427,Granada,2,0,0
1724,Man Utd,207,Athletic Bilbao,1,3,0
1724,Man Utd,690,Celta Vigo,1,0,1
1724,Man Utd,2697,Valencia,2,2,6
1724,Man Utd,1370,Inter,2,0,2
1724,Man Utd,41,AC Milan,6,5,1
1724,Man Utd,1408,Juventus,6,6,2
1724,Man Utd,1501,Lazio,0,1,0
1724,Man Utd,2163,Roma,4,1,1
1724,Man Utd,999,Fiorentina,1,1,0
1724,Man Utd,1576,Lille,3,1,2
1724,Man Utd,2068,Paris Saint Germain,2,2,0
1724,Man Utd,1674,Monaco,0,0,2
1724,Man Utd,1645,Lyon,2,0,2
1724,Man Utd,1748,Marseille,2,1,1
1724,Man Utd,1767,Montpellier,1,0,1
1724,Man Utd,935,St-Etienne,3,0,1
